Twitter Account,Tweet,Tweet Date,Signal Generation Date,Signal Message,Token Mentioned,Token ID,Price at Tweet,Highest price in a day,Highest price in a week,Highest price in a month,Current Price,TP1,TP2,SL,Exit Price,P&L
cryptostasher,https://x.com/cryptostasher/status/1898008977801125996,2025-03-07T13:52:58.000Z,2025-03-19T10:41:18.954Z,Buy,ZIG,zignaly,0.08839765311728418,,,,0.08332613939091653,0.1,0.15,0.0708,0.08512713086396875,-3.70%
cryptostasher,https://x.com/cryptostasher/status/1898476135840715138,2025-03-08T20:49:17.000Z,2025-03-19T10:41:30.607Z,Sell,BTC,bitcoin,86142.9833586432,,,,82780.03048688271,81250,75000,85000,N/A,N/A
cryptostasher,https://x.com/cryptostasher/status/1898429528072126789,2025-03-08T17:44:05.000Z,2025-03-19T10:41:44.684Z,Buy,ZIG,zignaly,0.09352475191000759,,,,0.08332613939091653,0.0935,0.12,0.075,N/A,N/A
cryptostasher,https://x.com/cryptostasher/status/1898189510145413521,2025-03-08T01:50:20.000Z,2025-03-19T10:41:57.225Z,Hold,BTC,bitcoin,86773.33597555371,,,,82780.03048688271,84205,88065,79205,N/A,N/A
cryptostasher,https://x.com/cryptostasher/status/1902284542167158968,2025-03-19T09:02:32.000Z,2025-03-19T10:42:08.311Z,Buy,ZIG,zignaly,0.08332613939091653,,,,0.08332613939091653,0.18,0.266,0.072,0.08512713086396875,2.16%
Cryptobullmaker,https://x.com/Cryptobullmaker/status/1898588132398027046,2025-03-09T04:14:19.000Z,2025-03-19T10:42:38.487Z,Buy,AST,astra-2,0.0004426217471499729,,,,0.00042143784946687166,0.0005,0.00055,0.0004,0.0004828870906879218,9.10%
Cryptobullmaker,https://x.com/Cryptobullmaker/status/1898589002195927043,2025-03-09T04:17:46.000Z,2025-03-19T10:42:54.539Z,Buy,AST,astra-2,0.0004426217471499729,,,,0.00042143784946687166,0.0004426,0.0004636,0.0003793,N/A,N/A
Cryptobullmaker,https://x.com/Cryptobullmaker/status/1898584067173691557,2025-03-09T03:58:10.000Z,2025-03-19T10:43:09.713Z,Buy,AST,astra-2,0.0004426217471499729,,,,0.00042143784946687166,0.0005,0.0008,0.0004,0.0004828870906879218,9.10%
Cryptobullmaker,https://x.com/Cryptobullmaker/status/1898523560450412776,2025-03-08T23:57:44.000Z,2025-03-19T10:43:21.186Z,Buy,AST,astra-2,0.0004426217471499729,,,,0.00042143784946687166,0.00046,0.0005,0.00038,0.0004828870906879218,9.10%
Cryptobullmaker,https://x.com/Cryptobullmaker/status/1898420861599965546,2025-03-08T17:09:39.000Z,2025-03-19T10:43:35.980Z,Buy,AST,airswap,0.04977073022184182,,,,0.04672361647727621,0.05,0.055,0.042,0.042,-15.61%
