Twitter Account,Tweet,Tweet Date,Signal Generation Date,Signal Message,Token Mentioned,Token ID,Price at Tweet,Highest price in a day,Highest price in a week,Highest price in a month,Current Price,TP1,TP2,SL
IncomeSharks,https://x.com/IncomeSharks/status/1864045757504090601,04/12/2024,5-12-2024,"🚀 Bullish Alert 🚀

🏛️ Token: Ethereum (ETH)
📈 Signal: Hold
🎯 Targets:
TP1: $4,000
TP2: $4,500
🛑 Stop Loss: $3,200
⏳ Timeline: 1-3 weeks

💡 Trade Tip:
Hold positions above $3,200 support amid bullish on-chain utility momentum. Monitor $3,750 resistance for breakout confirmation. Rising volume (+51%) supports upward potential but watch for profit-taking near targets. Tighten stop-loss on closes below $3,500 to protect gains.",Ethereum (ETH),ethereum,3625.7105,3625.7105,4015.782,3992.8572,1867.9914,4000,4500,3200
IncomeSharks,https://x.com/IncomeSharks/status/1864059408931749926,04/12/2024,5-12-2024,"🚀 Bullish Alert 🚀

🏛️ Token: Solana (SOL)
📈 Signal: Buy
🎯 Targets:
TP1: $240
TP2: $250
🛑 Stop Loss: $220
⏳ Timeline: 1-3 days

💡 Trade Tip:
Buy near SuperTrend support ($229) with bullish reversal expectations. Confirm momentum with volume rebound after recent -16% dip. Use tight stop-loss to manage downside risk. Watch for ETF-related news catalysts to amplify upside potential.",Solana (SOL),solana,234.9926,234.9926,238.8933,227.0731,123.2727,240,250,220
IncomeSharks,https://x.com/IncomeSharks/status/1864064713631629454,04/12/2024,5-12-2024,"🚀 Bullish Alert 🚀
🏛️ Token: Bitcoin (BTC)
📈 Signal: Buy
🎯 Targets:
TP1: $100,000
TP2: $105,605
🛑 Stop Loss: $92,500
⏳ Timeline: 1-3 days

💡 Trade Tip:
OBV accumulation suggests bullish momentum, with price already up ~3% on 11.7% volume increase. Target $100K psychological resistance, a key level per recent ATH attempts. Maintain stop below $93K support zone to invalidate the setup if reversed. Monitor ETF inflows for confirmation.",Bitcoin (BTC),bitcoin,96031.631,96031.631,101235.3717,106074.1072,83157.9319,100000,105605,92500
IncomeSharks,https://x.com/IncomeSharks/status/1864090527605600440,04/12/2024,5-12-2025,"🚀 Bullish Alert 🚀
🏛️ Token: infraX (INFRA)
📈 Signal: Buy
🎯 Targets:
TP1: $52.65
TP2: $117.00
🛑 Stop Loss: $25.00
⏳ Timeline: 1-3 months

💡 Trade Tip:
Current 11.69% price surge with 43% volume growth aligns with chart's ""slow curve"" phase toward ATH. Target $52.65 as 80% upside, then $117 on potential 4x market cap expansion. Maintain tight stop below $25 to protect against reversals. Monitor volume spikes for confirmation during price discovery phase.",InfraX (INFRA),infrax,26.1924,26.1924,30.3146,29.9991,4.8444,52.65,117,25
IncomeSharks,https://x.com/IncomeSharks/status/1864194230379573404,04/12/2024,5-12-2024,"🚀 Bullish Alert 🚀
🏛️ Token: ApeScreener (APES)
📈 Signal: Buy
🎯 Targets:
TP1: $0.166
TP2: $0.208
🛑 Stop Loss: $0.125
⏳ Timeline: 1-2 weeks

💡 Trade Tip:
Current 6.93% price rise with 7% market cap growth aligns with upward rank momentum from #1,600. Target $0.166 (20% upside) and $0.208 (50% rally) if ranking improves toward top 1,000. Set stop below $0.125 given -32% volume contraction. Monitor rank tracker tools for confirmation of upward trajectory.",ApeScreener (APES),apescreener,0.1295,0.1385,0.1386,0.1369,0.0197,0.166,0.208,0.125
IncomeSharks,https://x.com/IncomeSharks/status/1864920054338642398,06/12/2024,7-12-2024,"🚀 Bullish Alert 🚀
🏛️ Token: Uniswap (UNI)
📈 Signal: Buy
🎯 Targets:
TP1: $19.25
TP2: $20.15
🛑 Stop Loss: $15.00
⏳ Timeline: 1-2 weeks

💡 Trade Tip:
16.54% price surge with 54% volume growth aligns with ""running hot"" momentum. Target $19.25 (near Dec 2024 resistance) and $20.15 (psychological level). Set stop below $15 support to protect against pullbacks. Watch for volume sustainability to confirm continuation.",Uniswap (UNI),uniswap,15.121,17.6219,18.7119,17.4233,5.7577,19.25,20.15,15
IncomeSharks,https://x.com/IncomeSharks/status/1865240465681072439,07/12/2024,8-12-2024,"🚀 Bullish Alert 🚀
🏛️ Token: Spectre AI (SPECTRE)
📈 Signal: Buy
🎯 Targets:
TP1: $6.42
TP2: $7.00
🛑 Stop Loss: $5.00
⏳ Timeline: 1-2 weeks

💡 Trade Tip:
Recent -7.6% dip contrasts with tweet's ""price discovery"" momentum, but ATH retest at $6.42 offers breakout potential. Target $7.00 if volume rebounds from -82% drop. Tight stop below $5.00 protects against failed breakout. Monitor volume spikes for confirmation of renewed buying pressure.",Spectre AI (SPECTRE),spectre-ai,5.9906,5.5356,6.0828,5.518,1.8063,6.42,7,5
IncomeSharks,https://x.com/IncomeSharks/status/1865896666068635896,09/12/2024,10-12-2024,"🚀 Bullish Alert 🚀
🏛️ Token: MESSIER (M87)
📈 Signal: Buy
🎯 Targets:
TP1: $0.00012
TP2: $0.000143
🛑 Stop Loss: $0.00008
⏳ Timeline: 2-4 weeks

💡 Trade Tip:
Current 0.58% uptick aligns with consolidation before potential breakout targeting $0.00012-$0.000143 (33%-58% upside) alongside ETH's projected $4,500 rally. Set stop below $0.00008 to guard against failed momentum. Watch for volume spikes above $1.2M to confirm bullish continuation.",Messeir (M87),messier,0.0001,0.0001,0.0001,0.0001,0.0001,0.00012,0.000143,0.00008
IncomeSharks,https://x.com/IncomeSharks/status/1871040609156551147,23/12/2024,24-12-2025,"🚀 Bullish Alert 🚀
🏛️ Token: OriginTrail (TRAC)
📈 Signal: Buy
🎯 Targets:
TP1: $1.00
TP2: $1.20
🛑 Stop Loss: $0.75
⏳ Timeline: 1-2 weeks

💡 Trade Tip:
12.72% price surge with 138% volume spike signals renewed buying momentum. Target $1.00 (psychological resistance) and $1.20 (ATH retest). Maintain stop below $0.75 to protect against pullbacks. Monitor sustained volume above $4.4M to confirm ""rinse & repeat"" breakout pattern.",OriginTrail (TRAC),origintrail,0.7715,0.8697,0.9346,0.9257,0.3722,1,1.2,0.75
TheCryptoKazi,https://x.com/TheCryptoKazi/status/1860615991144673356,24/11/2024,25-11-2024,"🚀 Bullish Alert 🚀
🏛️ Token: Moon Tropica (CAH)
📈 Signal: Buy
🎯 Targets:
TP1: $13.50
TP2: $15.00
🛑 Stop Loss: $10.50
⏳ Timeline: 1-2 weeks

💡 Trade Tip:
Price shows bullish momentum with +2.68% gain and +24.35% volume surge. Rising market cap (+4.07%) aligns with parabolic sentiment in tweet. Set stop loss below key support at $10.50 to manage risk while targeting breakout levels. Monitor gaming/metaverse sector trends for confirmation.",Moon Tropica (CAH),moon-tropica,11.5645,11.8742,24.1137,22.4776,2.4209,13.5,15,10.5
TheCryptoKazi,https://x.com/TheCryptoKazi/status/1860635820601835532,24/11/2024,25-11-2024,"🚀 Bullish Alert 🚀
🏛️ Token: Lemonrocks (LEMON)
📈 Signal: Buy
🎯 Targets:
TP1: $0.0175
TP2: $0.0234
🛑 Stop Loss: $0.0085
⏳ Timeline: 1-2 weeks

💡 Trade Tip:
Strong +37.61% price surge aligns with bullish tweet sentiment. Rising market cap (+37.50%) suggests accumulation. Set stop loss below key support at $0.0085 to protect gains. Monitor volume trends for continuation signals above $0.0234 resistance.",Lemonrocks (LEMON),lemonrocks,0.0085,0.0117,0.0159,0.0163,0.0002,0.0175,0.0234,0.0085
TheCryptoKazi,https://x.com/TheCryptoKazi/status/1861004628441084400,25/11/2024,26-11-2024,"⏳ Hold Steady ⏳
🏛️ Token: HashAI (HASHAI)
📈 Signal: Hold
🎯 Targets:
TP1: $0.00120
TP2: $0.00183
🛑 Stop Loss: $0.00085
⏳ Timeline: 3-6 months

💡 Trade Tip:
Short-term price dip (-0.78%) contrasts with bullish hold sentiment. Oversold RSI (20.99) suggests potential rebound. Align with long-term bull run targets from $0.0012 to $0.00183. Maintain stop loss below $0.00085 to mitigate downside amid low volume (-12.64%).",HashAI (HASHAI),hashai,0.001,0.001,0.0022,0.0019,0.0003,0.0012,0.00183,0.00085
TheCryptoKazi,https://x.com/TheCryptoKazi/status/1861018325360185694,25/11/2024,26-11-2024,"🚀 Bullish Alert 🚀
🏛️ Token: Uniswap (UNI)
📈 Signal: Buy
🎯 Targets:
TP1: $13.36
TP2: $15.00
🛑 Stop Loss: $10.50
⏳ Timeline: 1-2 weeks

💡 Trade Tip:
Bullish momentum (+1.92%) aligns with tweet’s ATH target. Volume surge (+58.39%) signals accumulation. Target breakout above $13.36 resistance for swing trade. Maintain stop loss below $10.50 support to hedge against volatility.",Uniswap (UNI),uniswap,11.1306,11.1306,13.4651,18.7119,5.8849,13.56,15,10.5
TheCryptoKazi,https://x.com/TheCryptoKazi/status/1863250930575053235,01/12/2024,2-12-2024,"⏳ Hold Steady ⏳
🏛️ Token: Dione (DIONE)
📈 Signal: Hold
🎯 Targets:
TP1: $0.0191
TP2: $0.0250
🛑 Stop Loss: $0.0050
⏳ Timeline: 3-6 months

💡 Trade Tip:
Recent -3.87% dip contrasts with bullish $500M tweet projection. Historical ATH at $0.0191 offers key resistance. Set stop loss below $0.0050 to manage risk during consolidation. Monitor volume rebounds and market cap trends for breakout confirmation.",Dione (DIONE),dione,0.0075,0.0075,0.0085,0.0077,0.0018,0.0191,0.025,0.005
TheCryptoKazi,https://x.com/TheCryptoKazi/status/1863257338708099075,01/12/2024,2-12-2024,"🚀 Bullish Alert 🚀
🏛️ Token: Cosmic Network (COSMIC)
📈 Signal: Buy
🎯 Targets:
TP1: $0.35
TP2: $0.50
🛑 Stop Loss: $0.18
⏳ Timeline: 1-2 weeks

💡 Trade Tip:
24.79% price surge and +165.59% volume spike signal strong bullish momentum. Market cap potential aligns with tweet’s $800M projection. Target $0.35–$0.50 for swing trades. Set stop loss below $0.18 to mitigate volatility risks. Confirm breakout sustainability via volume trends.",Cosmic Network (COSMIC),cosmic-network,0.2469,0.2469,0.2771,0.2631,0.0115,0.35,0.5,0.18
TheCryptoKazi,https://x.com/TheCryptoKazi/status/1864354950844764185,04/12/2024,5-12-2024,"🚀 Bullish Alert 🚀
🏛️ Token: Moon Tropica (CAH)
📈 Signal: Buy
🎯 Targets:
TP1: $26.50
TP2: $30.00
🛑 Stop Loss: $19.50
⏳ Timeline: 1-2 weeks

💡 Trade Tip:
14.50% price surge with +40.63% volume spike confirms bullish momentum. Market cap growth (+14.49%) aligns with ""CAHBOOM"" tweet sentiment. Target $26.50–$30.00 resistance zones. Set stop loss below $19.50 to protect gains during volatility. Monitor volume sustainability for breakout confirmation.",Moon Tropica (CAH),moon-tropica,22.4776,22.4776,21.8824,19.6369,2.3789,26.5,30,19.5
TheCryptoKazi,https://x.com/TheCryptoKazi/status/1864773766481395746,06/12/2024,7-12-2024,"🚀 Bullish Alert 🚀
🏛️ Token: Sui (SUI)
📈 Signal: Buy
🎯 Targets:
TP1: $4.43
TP2: $4.64
🛑 Stop Loss: $4.01
⏳ Timeline: 1-2 weeks

💡 Trade Tip:
The tweet highlights SUI's upward momentum and a fractal pattern correlation with UNI, suggesting potential follow-through. Despite flat price movement in the provided data, reduced volume (-46.77%) indicates consolidation before possible breakout. Use the stop loss to hedge against volatility while targeting 5-10% gains. Monitor SUI's ecosystem developments for confirmation.",Sui (SUI),sui,4.2203,4.2203,4.3723,4.9594,2.3029,4.43,4.64,4.01
TheCryptoKazi,https://x.com/TheCryptoKazi/status/1865430063438581951,07/12/2024,8-12-2024,"🚀 Bullish Alert 🚀
🏛️ Token: Houdini Swap (LOCK)
📈 Signal: Buy
🎯 Targets:
TP1: $0.518
TP2: $0.543
🛑 Stop Loss: $0.444
⏳ Timeline: 1-2 weeks

💡 Trade Tip:
The tweet highlights LOCK's undervaluation with strong fundamentals (9M annual revenue, 30% staked supply driving buybacks). Recent -1.58% price dip and -75.72% volume drop suggest consolidation before potential repricing. Use the stop loss to mitigate volatility risks while targeting 5-10% gains from current levels. Monitor staking activity for confirmation.",Houdini Swap (LOCK),houdini-swap,0.4934,0.4934,0.5419,0.5381,0.137,0.518,0.543,0.444
TheCryptoKazi,https://x.com/TheCryptoKazi/status/1865594981362155728,08/12/2024,9-12-2024,"🚀 Bullish Alert 🚀
🏛️ Token: Alephium (ALPH)
📈 Signal: Buy
🎯 Targets:
TP1: $2.62
TP2: $2.74
🛑 Stop Loss: $2.24
⏳ Timeline: 1-2 weeks

💡 Trade Tip:
The tweet highlights ALPH's strong chart momentum and a $10 aspirational target. Market data shows +14.42% price surge with +76.59% volume growth, indicating bullish momentum. Set stop loss below the recent consolidation zone to protect gains. Monitor RSI for overbought signals given rapid appreciation.",Alephium (ALPH),alephium,2.1791,2.4933,2.4597,2.3133,0.3332,2.62,2.74,2.24
KAPOTHEGOAT01,https://x.com/KAPOTHEGOAT01/status/1830573647909511670,02/09/2024,3-9-2024,"🚀 Bullish Alert 🚀
🏛️ Token: Sundog (SUNDOG)
📈 Signal: Buy
🎯 Targets:
TP1: $0.266
TP2: $0.279
🛑 Stop Loss: $0.225
⏳ Timeline: 1-2 weeks

💡 Trade Tip:
The tweet highlights SUNDOG's stability amid market volatility and KuCoin listing catalyst. Market data shows +7.88% price surge with +8.07% market cap growth, signaling bullish momentum. Set stop loss below the recent consolidation zone to manage risk. Monitor volume spikes post-listing for breakout confirmation.",Sundog (SUNDOG),sundog,0.2353,0.2539,0.2464,0.3549,0.0459,0.266,0.279,0.225
KAPOTHEGOAT01,https://x.com/KAPOTHEGOAT01/status/1831415528336060771,05/09/2024,6-9-2024,"🚀 Bullish Alert 🚀
🏛️ Token: ZIGChain (ZIG)
📈 Signal: Buy
🎯 Targets:
TP1: $0.092
TP2: $0.098
🛑 Stop Loss: $0.078
⏳ Timeline: 1-2 weeks

💡 Trade Tip:
The tweet highlights strong staking adoption (140M ZIG staked, 130%+ yield) and upcoming airdrops. Despite the recent -3.59% dip, staking reduces circulating supply and signals long-term confidence. Target a rebound to pre-dip levels, using the stop loss to hedge against volatility. Monitor staking growth and airdrop announcements for momentum confirmation.",Zignaly (ZIG),zignaly,0.0901,0.0901,0.0993,0.1172,0.0781,0.092,0.098,0.078
KAPOTHEGOAT01,https://x.com/KAPOTHEGOAT01/status/1832514742851686443,08/09/2024,9-9-2024,"🚀 Bullish Alert 🚀
🏛️ Token: Zebec Network (ZBCN)
📈 Signal: Buy
🎯 Targets:
TP1: $0.001053
TP2: $0.001103
🛑 Stop Loss: $0.000852
⏳ Timeline: 1-2 weeks

💡 Trade Tip:
The tweet highlights ZBCN's strong fundamentals ($10M+ revenue, $102B+ payroll partnerships, DST Global backing) and upcoming revenue-driven momentum. Price surged +9.82% despite slight volume dip (-1.44%), signaling bullish technical alignment. Target retest of local highs with stop loss below recent consolidation. Monitor volume resurgence for confirmation of breakout.",Zebec Network (ZBCN),zebec-network,0.0009,0.0009,0.0013,0.0014,0.0009,0.001053,0.001103,0.000852
KAPOTHEGOAT01,https://x.com/KAPOTHEGOAT01/status/1833491383342043583,10/09/2024,11-9-2024,"🚀 Bullish Alert 🚀

🏛️ Token: Non-Playable Coin (NPC)
📈 Signal: Buy
🎯 Targets:
TP1: $0.0165
TP2: $0.0175
🛑 Stop Loss: $0.0154
⏳ Timeline: 24-48 hours

💡 Trade Tip:
Bullish sentiment from social hype aligns with a 2.96% price rise, but monitor volume confirmation. Key resistance at $0.0165 must break decisively. Maintain strict stop loss given mixed technical indicators (12 sell vs. 2 buy signals historically). Rising market cap suggests accumulation, but declining volume warrants caution.",Non-Payable Coin (NPC),non-playable-coin,0.0162,0.0162,0.016,0.0313,0.0071,0.0165,0.0175,0.0154
KAPOTHEGOAT01,https://x.com/KAPOTHEGOAT01/status/1845069774314709358,12/10/2024,13-10-2024,"🚀 Bullish Alert 🚀

🏛️ Token: Gou (GOU)
📈 Signal: Buy
🎯 Targets:
TP1: $0.015
TP2: $0.018
🛑 Stop Loss: $0.011
⏳ Timeline: 24-48 hours

💡 Trade Tip:
Meme coin momentum aligns with 77.71% price surge and 42.92% volume growth. Dog-themed narratives dominate markets (search results10), but monitor profit-taking risks after parabolic moves. Maintain stop loss below key support at $0.011 to mitigate volatility. Market cap target of $1B implies +7,100% upside – scale profits incrementally.",Gou (GOU),gou,0.0077,0.0137,0.0182,0.0111,0.0001,0.015,0.018,0.011
KAPOTHEGOAT01,https://x.com/KAPOTHEGOAT01/status/1854153860790501698,06/11/2024,7-11-2024,"🚀 Bullish Alert 🚀

🏛️ Token: Nexera (NXRA)
📈 Signal: Buy
🎯 Targets:
TP1: $0.026
TP2: $0.028
🛑 Stop Loss: $0.023
⏳ Timeline: 24-48 hours

💡 Trade Tip:
Recent 9.17% price surge supported by 123.64% volume spike suggests bullish momentum. Monitor Nexera Exchange developments for protocol-driven growth. Maintain stop loss below key support as technical indicators show mixed signals.",Nexera (NXRA),allianceblock-nexera,0.025,0.025,0.0428,0.0852,0.0123,0.026,0.028,0.023
KAPOTHEGOAT01,https://x.com/KAPOTHEGOAT01/status/1854153860790501698,06/11/2024,7-11-2024,"🚀 Bullish Alert 🚀

🏛️ Token: Nuklai (NAI)
📈 Signal: Buy
🎯 Targets:
TP1: $0.0065
TP2: $0.0075
🛑 Stop Loss: $0.0058
⏳ Timeline: 24-48 hours

💡 Trade Tip:
32.46% price surge with 410% volume growth signals strong retail interest. Tight stop loss advised given parabolic move. Consider scaling profits amid high volatility and potential profit-taking near $0.007 resistance.",Nuklai (NAI),nuklai,0.0063,0.0063,0.0075,0.0131,0.002,0.0065,0.0075,0.005
