Twitter Account,Tweet,Tweet Date,Signal Generation Date,Signal Message,Token Mentioned,Token ID,Price at Tweet,Highest price in a day,Highest price in a week,Highest price in a month,Current Price,TP1,SL,Exit Price,P&L
RiddlerDeFi,https://x.com/RiddlerDeFi/status/1860318887201636469,23/11/2024,24-11-2024,"🚀 Bullish Alert 🚀

🏛️ Token: NEAR Protocol (NEAR)
📈 Signal: Buy
🎯 Targets:
TP1: $7.00
TP2: $7.70
🛑 Stop Loss: $5.40

💡 Trade Tip:
NEAR shows bullish momentum with AI-driven growth and chain abstraction potential. Volume surge (+60.45%) confirms interest. Target resistance levels from recent rally extension while protecting gains with tight stop below $5.50 support. Monitor $7B MCap as psychological milestone.",NEAR,near,6.1892,6.1892,7.0562,8.0241,2.5264,7,5.4,7,13.10%
RiddlerDeFi,https://x.com/RiddlerDeFi/status/1860982813723607447,25/11/2024,26-11-2024,"🚀 Bullish Alert 🚀

🏛️ Token: dYdX (DYDX)
📈 Signal: Buy
🎯 Targets:
TP1: $1.70
TP2: $2.50
🛑 Stop Loss: $1.40

💡 Trade Tip:
DYDX shows resilience with recent governance upgrades boosting trader flexibility. Price stability above $1.55 suggests accumulation despite -43.94% volume drop. Target $2.50 resistance from March 2025 spike while protecting positions below key $1.40 support. Monitor cross-margin adoption impact on trading activity.",DYDX (dydx-chain),dydx-chain,1.5526,1.5542,1.728,2.6186,0.5992,1.7,1.4,1.7,9.49%
RiddlerDeFi,https://x.com/RiddlerDeFi/status/1861065260918321564,25/11/2024,26-11-2024,"🚀 Bullish Alert 🚀

🏛️ Token: Flare (FLR)
📈 Signal: Buy
🎯 Targets:
TP1: $0.030
TP2: $0.060
🛑 Stop Loss: $0.018

💡 Trade Tip:
FLR's double-bottom pattern aligns with bullish DeFi ecosystem growth (+400% TVL). Oversold RSI supports rebound potential. Target $0.06 ATH retest but watch for volume recovery. Use tight stop-loss given recent -5.55% price dip and -23% volume contraction. Monitor Flare's AI/DeFi integrations for momentum confirmation.",Flare (FLR),flare-networks,0.0225,0.0225,0.0311,0.0349,0.0146,0.03,0.018,0.03,33.33%
RiddlerDeFi,https://x.com/RiddlerDeFi/status/1861084656776728928,25/11/2024,26-11-2024,"🚀 Bullish Alert 🚀

🏛️ Token: PinLink (PIN)
📈 Signal: Buy
🎯 Targets:
TP1: $0.60
TP2: $1.00
🛑 Stop Loss: $0.35

💡 Trade Tip:
PIN's RWA-tokenized DePIN narrative fuels +25% price surge and 203% volume spike. Target breakout toward $1.00 (2.1x from entry) as utility demand grows. Tight stop-loss below $0.35 protects against profit-taking. Monitor ETH ecosystem momentum for sustained DePIN traction. Trail stops if ATH ($4.28) retest materializes.",PinLink (PIN),pinlink,0.4692,0.4692,1.3862,3.4288,0.8105,0.6,0.35,0.6,27.88%
RiddlerDeFi,https://x.com/RiddlerDeFi/status/1861355666054750594,26/11/2024,27-11-2024,"🚀 Bullish Alert 🚀

🏛️ Token: Degen (DEGEN)
📈 Signal: Buy
🎯 Targets:
TP1: $0.025
TP2: $0.035
🛑 Stop Loss: $0.015

💡 Trade Tip:
DEGEN's Base ecosystem integration and Phantom wallet adoption could fuel upward momentum. Despite -2.34% dip, +4.88% volume growth signals accumulation. Target $0.035 (2x from entry) post-retest of $0.015 support. Tight stop-loss mitigates risk from recent -2.38% MCap contraction. Watch for L3 chain migration updates and Binance futures leverage activity.",Degen (DEGEN),degen-base,0.0179,0.0175,0.0204,0.0221,0.0031,0.025,0.015,0.015,-16.20%
RiddlerDeFi,https://x.com/RiddlerDeFi/status/1861749329998012429,27/11/2024,28-11-2024,"🚀 Bullish Alert 🚀

🏛️ Token: Eliza (ELIZA)
📈 Signal: Buy
🎯 Targets:
TP1: $0.023
TP2: $0.030
🛑 Stop Loss: $0.017

💡 Trade Tip:
ELIZA's AI framework adoption and sector-wide AI agent momentum (+2x VVAIFU) suggest rebound potential. Oversold RSI (-16.68%) aligns with historical reversal patterns. Target $0.03 resistance from Nov 27 levels, but monitor volume recovery from -90.23% dip. Use tight stop-loss given recent MCap contraction (-19.65%). Track BNB Chain integration progress for catalyst confirmation.

",Eliza (ELIZA),eliza,0.0194,0.0194,0.0322,0.1124,0.0029,0.023,0.017,0.023,18.56%
RiddlerDeFi,https://x.com/RiddlerDeFi/status/1861793183291847139,27/11/2024,28-11-2024,"🚀 Bullish Alert 🚀

🏛️ Token: Injective (INJ)
📈 Signal: Buy
🎯 Targets:
TP1: $33.44
TP2: $40.00
🛑 Stop Loss: $25.00

💡 Trade Tip:
INJ's bullish momentum faces BTC-dependent volatility with -3.41% pullback and -38.97% volume dip. Target $33.44 (Nov 2024 resistance) and $40.00 (Elliott Wave extension). Maintain stop-loss below $25.00 to hedge against bearish divergence. Track BTC's movement and institutional DeFi inflows for trend confirmation.",Injective (INJ),injective-protocol,29.8388,29.8388,33.4635,34.121,9.2679,33.44,25,33.44,12.07%
RiddlerDeFi,https://x.com/RiddlerDeFi/status/1863556169471832471,02/12/2024,3-12-2024,"🚀 Bullish Alert 🚀

🏛️ Token: Purr (PURR)
📈 Signal: Buy
🎯 Targets:
TP1: $0.35
TP2: $0.60
🛑 Stop Loss: $0.20

💡 Trade Tip:
PURR's Hyperliquid-backed meme dominance and recent Gate.io listing (Dec 24, 2024) fuel rebound potential despite -16.90% dip. Target $0.60 ATH retest with volume surge (+10.26%) signaling accumulation. Tight stop-loss below $0.20 protects against bearish divergence. Monitor $1B MCap milestone traction and DeFi integrations for confirmation.",Purr (PURR),purr-2,0.2506,0.2506,0.3017,0.621,0.0704,0.35,0.2,0.35,39.66%
RiddlerDeFi,https://x.com/RiddlerDeFi/status/1863616212997149154,02/12/2024,3-12-2024,"🚀 Bullish Alert 🚀

🏛️ Token: Peapods Finance (PEAS)
📈 Signal: Buy
🎯 Targets:
TP1: $9.00
TP2: $11.50
🛑 Stop Loss: $7.50

💡 Trade Tip:
LVF product launch (-0.65% consolidation) could trigger supply burns and DeFi yield demand, reversing recent -8.54% volume dip. Target $11.50 ATH retest with tight stop below $7.50 support. Monitor BTC correlation per tweet’s caution and LVF adoption metrics. Track SonicLabs integration (Mar 2025) for sustained momentum.

",Peapods Finance (PEAS),peapods-finance,8.1345,8.1345,10.0246,11.159,3.2834,9,7.5,9,10.64%
holdersignals,https://x.com/holdersignals/status/1856588012613972313,13/11/2024,14-11-2024,"🚀 Bullish Alert 🚀

🏛️ Token: Steem (STEEM)
📈 Signal: Buy
🎯 Targets:
TP1: $0.30
TP2: $0.35
🛑 Stop Loss: $0.15

💡 Trade Tip:
STEEM shows whale accumulation signals (+28.45% volume surge) mirroring STRAX’s Upbit-driven rally. Target $0.30 resistance with stop-loss below $0.15 support. Monitor Upbid order books for whale bids and volume sustainability. Historical patterns suggest volatility spikes post-Kimchi Premium activation.",Steem (STEEM),steem,0.2007,0.1953,0.2179,0.3129,0.1296,0.3,0.15,0.3,49.48%
